ID,Gloss,Concepticon_ID,Concepticon_Gloss,Portuguese_Gloss
226_what,what,1236,WHAT,que cousa
227_when,when,1238,WHEN,quando
228_where,where,1237,WHERE,onde
229_white,white,1335,WHITE,branco
230_who,who,1235,WHO,quem
231_why,why,1270,WHY,porque
232_wide,wide,1243,WIDE,largo
233_wife,wife,1199,WIFE,esposa
234_wind,wind,960,WIND,vento
235_wing,wing,1257,WING,asa
236_withpedro,with pedro,1340,WITH,com Pedro
237_woman,woman,962,WOMAN,mulher
238_worm,worm,1219,WORM,vermelho
239_year,year,1226,YEAR,ano
240_yellow,yellow,1424,YELLOW,amarelo
241_yes,yes,1268,YES,sim
242_youpl,you pl.,1213,YOU,vós
243_boyyoungman,"boy, young man",76,YOUNG MAN,rapaz
